
Время,с. Число_поставленных_задач Состояние_первого_терминала Состояние_второго_терминала Состояние_третьего_терминала Количество_решенных_задач Количество_задач_в_очереди
3 1 Не_активен Активен Не_активен 0 1
6 2 Не_активен Не_активен Активен 0 2
9 3 Не_активен Не_активен Не_активен 0 3
12 4 Не_активен Не_активен Не_активен 0 4
15 5 Не_активен Не_активен Не_активен 0 5
18 6 Не_активен Не_активен Не_активен 0 6
21 7 Не_активен Не_активен Не_активен 0 7
24 8 Не_активен Не_активен Не_активен 0 8
27 9 Не_активен Не_активен Не_активен 1 8
30 10 Не_активен Не_активен Не_активен 2 8
33 11 Не_активен Не_активен Не_активен 3 8
36 12 Не_активен Не_активен Не_активен 4 8
39 13 Не_активен Не_активен Не_активен 5 8
42 14 Не_активен Не_активен Не_активен 6 8
45 15 Не_активен Не_активен Не_активен 7 8
48 16 Не_активен Не_активен Не_активен 8 8
51 17 Не_активен Не_активен Не_активен 9 8
54 18 Не_активен Не_активен Не_активен 10 8
57 18 Активен Не_активен Не_активен 10 8
60 18 Активен Не_активен Не_активен 10 8
63 18 Активен Не_активен Не_активен 10 8
66 18 Активен Не_активен Не_активен 10 8
69 18 Активен Не_активен Не_активен 10 8
72 18 Активен Не_активен Не_активен 10 8
75 19 Не_активен Активен Не_активен 11 8
78 19 Не_активен Активен Не_активен 11 8
81 19 Не_активен Активен Не_активен 11 8
84 19 Не_активен Активен Не_активен 11 8
87 19 Не_активен Активен Не_активен 11 8
90 19 Не_активен Активен Не_активен 11 8
93 19 Не_активен Активен Не_активен 11 8
96 20 Не_активен Не_активен Активен 12 8
99 20 Не_активен Не_активен Активен 12 8
102 20 Не_активен Не_активен Активен 12 8
105 20 Не_активен Не_активен Активен 12 8
108 20 Не_активен Не_активен Активен 12 8
111 20 Не_активен Не_активен Активен 12 8
114 20 Не_активен Не_активен Активен 12 8
117 21 Активен Не_активен Не_активен 13 8
120 21 Активен Не_активен Не_активен 13 8
123 21 Активен Не_активен Не_активен 13 8
126 21 Активен Не_активен Не_активен 13 8
129 21 Активен Не_активен Не_активен 13 8
132 21 Активен Не_активен Не_активен 13 8
135 21 Активен Не_активен Не_активен 13 8
138 22 Не_активен Активен Не_активен 14 8
141 22 Не_активен Активен Не_активен 14 8
144 22 Не_активен Активен Не_активен 14 8
147 22 Не_активен Активен Не_активен 14 8
150 22 Не_активен Активен Не_активен 14 8
153 22 Не_активен Активен Не_активен 14 8
156 22 Не_активен Активен Не_активен 14 8
159 23 Не_активен Не_активен Активен 15 8
162 23 Не_активен Не_активен Активен 15 8
165 23 Не_активен Не_активен Активен 15 8
168 23 Не_активен Не_активен Активен 15 8
171 23 Не_активен Не_активен Активен 15 8
174 23 Не_активен Не_активен Активен 15 8
177 23 Не_активен Не_активен Активен 15 8
180 24 Активен Не_активен Не_активен 16 8
183 24 Активен Не_активен Не_активен 16 8
186 24 Активен Не_активен Не_активен 16 8
189 24 Активен Не_активен Не_активен 16 8
192 24 Активен Не_активен Не_активен 16 8
195 24 Активен Не_активен Не_активен 16 8
198 24 Активен Не_активен Не_активен 16 8
201 25 Не_активен Активен Не_активен 17 8
204 25 Не_активен Активен Не_активен 17 8
207 25 Не_активен Активен Не_активен 17 8
210 25 Не_активен Активен Не_активен 17 8
213 25 Не_активен Активен Не_активен 17 8
216 25 Не_активен Активен Не_активен 17 8
219 25 Не_активен Активен Не_активен 17 8
222 26 Не_активен Не_активен Активен 18 8
225 26 Не_активен Не_активен Активен 18 8
228 26 Не_активен Не_активен Активен 18 8
231 26 Не_активен Не_активен Активен 18 8
234 26 Не_активен Не_активен Активен 18 8
237 26 Не_активен Не_активен Активен 18 8
240 26 Не_активен Не_активен Активен 18 8
243 27 Активен Не_активен Не_активен 19 8
246 27 Активен Не_активен Не_активен 19 8
249 27 Активен Не_активен Не_активен 19 8
252 27 Активен Не_активен Не_активен 19 8
255 27 Активен Не_активен Не_активен 19 8
258 27 Активен Не_активен Не_активен 19 8
261 27 Активен Не_активен Не_активен 19 8
264 28 Не_активен Активен Не_активен 20 8
267 28 Не_активен Активен Не_активен 20 8
270 28 Не_активен Активен Не_активен 20 8
273 28 Не_активен Активен Не_активен 20 8
276 28 Не_активен Активен Не_активен 20 8
279 28 Не_активен Активен Не_активен 20 8
282 28 Не_активен Активен Не_активен 20 8
285 29 Не_активен Не_активен Активен 21 8
288 29 Не_активен Не_активен Активен 21 8
291 29 Не_активен Не_активен Активен 21 8
294 29 Не_активен Не_активен Активен 21 8
297 29 Не_активен Не_активен Активен 21 8
300 29 Не_активен Не_активен Активен 21 8
303 29 Не_активен Не_активен Активен 21 8
306 30 Активен Не_активен Не_активен 22 8
309 30 Активен Не_активен Не_активен 22 8
312 30 Активен Не_активен Не_активен 22 8
315 30 Активен Не_активен Не_активен 22 8
318 30 Активен Не_активен Не_активен 22 8
321 30 Активен Не_активен Не_активен 22 8
324 30 Активен Не_активен Не_активен 22 8
327 31 Не_активен Активен Не_активен 23 8
330 31 Не_активен Активен Не_активен 23 8
333 31 Не_активен Активен Не_активен 23 8
336 31 Не_активен Активен Не_активен 23 8
339 31 Не_активен Активен Не_активен 23 8
342 31 Не_активен Активен Не_активен 23 8
345 31 Не_активен Активен Не_активен 23 8
348 32 Не_активен Не_активен Активен 24 8
351 32 Не_активен Не_активен Активен 24 8
354 32 Не_активен Не_активен Активен 24 8
357 32 Не_активен Не_активен Активен 24 8
360 32 Не_активен Не_активен Активен 24 8
363 32 Не_активен Не_активен Активен 24 8
366 32 Не_активен Не_активен Активен 24 8
369 33 Активен Не_активен Не_активен 25 8
372 33 Активен Не_активен Не_активен 25 8
375 33 Активен Не_активен Не_активен 25 8
378 33 Активен Не_активен Не_активен 25 8
381 33 Активен Не_активен Не_активен 25 8
384 33 Активен Не_активен Не_активен 25 8
387 33 Активен Не_активен Не_активен 25 8
390 34 Не_активен Активен Не_активен 26 8
393 34 Не_активен Активен Не_активен 26 8
396 34 Не_активен Активен Не_активен 26 8
399 34 Не_активен Активен Не_активен 26 8
402 34 Не_активен Активен Не_активен 26 8
405 34 Не_активен Активен Не_активен 26 8
408 34 Не_активен Активен Не_активен 26 8
411 35 Не_активен Не_активен Активен 27 8
414 35 Не_активен Не_активен Активен 27 8
417 35 Не_активен Не_активен Активен 27 8
420 35 Не_активен Не_активен Активен 27 8
423 35 Не_активен Не_активен Активен 27 8
426 35 Не_активен Не_активен Активен 27 8
429 35 Не_активен Не_активен Активен 27 8
432 36 Активен Не_активен Не_активен 28 8
435 36 Активен Не_активен Не_активен 28 8
438 36 Активен Не_активен Не_активен 28 8
441 36 Активен Не_активен Не_активен 28 8
444 36 Активен Не_активен Не_активен 28 8
447 36 Активен Не_активен Не_активен 28 8
450 36 Активен Не_активен Не_активен 28 8
453 37 Не_активен Активен Не_активен 29 8
456 37 Не_активен Активен Не_активен 29 8
459 37 Не_активен Активен Не_активен 29 8
462 37 Не_активен Активен Не_активен 29 8
465 37 Не_активен Активен Не_активен 29 8
468 37 Не_активен Активен Не_активен 29 8
471 37 Не_активен Активен Не_активен 29 8
474 38 Не_активен Не_активен Активен 30 8
477 38 Не_активен Не_активен Активен 30 8
480 38 Не_активен Не_активен Активен 30 8
483 38 Не_активен Не_активен Активен 30 8
486 38 Не_активен Не_активен Активен 30 8
489 38 Не_активен Не_активен Активен 30 8
492 38 Не_активен Не_активен Активен 30 8
495 39 Активен Не_активен Не_активен 31 8
498 39 Активен Не_активен Не_активен 31 8
501 39 Активен Не_активен Не_активен 31 8
504 39 Активен Не_активен Не_активен 31 8
507 39 Активен Не_активен Не_активен 31 8
510 39 Активен Не_активен Не_активен 31 8
513 39 Активен Не_активен Не_активен 31 8
516 40 Не_активен Активен Не_активен 32 8
519 40 Не_активен Активен Не_активен 32 8
522 40 Не_активен Активен Не_активен 32 8
525 40 Не_активен Активен Не_активен 32 8
528 40 Не_активен Активен Не_активен 32 8
531 40 Не_активен Активен Не_активен 32 8
534 40 Не_активен Активен Не_активен 32 8
537 41 Не_активен Не_активен Активен 33 8
540 41 Не_активен Не_активен Активен 33 8
543 41 Не_активен Не_активен Активен 33 8
546 41 Не_активен Не_активен Активен 33 8
549 41 Не_активен Не_активен Активен 33 8
552 41 Не_активен Не_активен Активен 33 8
555 41 Не_активен Не_активен Активен 33 8
558 42 Активен Не_активен Не_активен 34 8
561 42 Активен Не_активен Не_активен 34 8
564 42 Активен Не_активен Не_активен 34 8
567 42 Активен Не_активен Не_активен 34 8
570 42 Активен Не_активен Не_активен 34 8
573 42 Активен Не_активен Не_активен 34 8
576 42 Активен Не_активен Не_активен 34 8
579 43 Не_активен Активен Не_активен 35 8
582 43 Не_активен Активен Не_активен 35 8
585 43 Не_активен Активен Не_активен 35 8
588 43 Не_активен Активен Не_активен 35 8
591 43 Не_активен Активен Не_активен 35 8
594 43 Не_активен Активен Не_активен 35 8
597 43 Не_активен Активен Не_активен 35 8
600 44 Не_активен Не_активен Активен 36 8
603 44 Не_активен Не_активен Активен 36 8
606 44 Не_активен Не_активен Активен 36 8
609 44 Не_активен Не_активен Активен 36 8
612 44 Не_активен Не_активен Активен 36 8
615 44 Не_активен Не_активен Активен 36 8
618 44 Не_активен Не_активен Активен 36 8
621 45 Активен Не_активен Не_активен 37 8
624 45 Активен Не_активен Не_активен 37 8
627 45 Активен Не_активен Не_активен 37 8
630 45 Активен Не_активен Не_активен 37 8
633 45 Активен Не_активен Не_активен 37 8
636 45 Активен Не_активен Не_активен 37 8
639 45 Активен Не_активен Не_активен 37 8
642 46 Не_активен Активен Не_активен 38 8
645 46 Не_активен Активен Не_активен 38 8
648 46 Не_активен Активен Не_активен 38 8
651 46 Не_активен Активен Не_активен 38 8
654 46 Не_активен Активен Не_активен 38 8
657 46 Не_активен Активен Не_активен 38 8
660 46 Не_активен Активен Не_активен 38 8
663 47 Не_активен Не_активен Активен 39 8
666 47 Не_активен Не_активен Активен 39 8
669 47 Не_активен Не_активен Активен 39 8
672 47 Не_активен Не_активен Активен 39 8
675 47 Не_активен Не_активен Активен 39 8
678 47 Не_активен Не_активен Активен 39 8
681 47 Не_активен Не_активен Активен 39 8
684 48 Активен Не_активен Не_активен 40 8
687 48 Активен Не_активен Не_активен 40 8
690 48 Активен Не_активен Не_активен 40 8
693 48 Активен Не_активен Не_активен 40 8
696 48 Активен Не_активен Не_активен 40 8
699 48 Активен Не_активен Не_активен 40 8
702 48 Активен Не_активен Не_активен 40 8
705 49 Не_активен Активен Не_активен 41 8
708 49 Не_активен Активен Не_активен 41 8
711 49 Не_активен Активен Не_активен 41 8
714 49 Не_активен Активен Не_активен 41 8
717 49 Не_активен Активен Не_активен 41 8
720 49 Не_активен Активен Не_активен 41 8
723 49 Не_активен Активен Не_активен 41 8
726 50 Не_активен Не_активен Активен 42 8
729 50 Не_активен Не_активен Активен 42 8
732 50 Не_активен Не_активен Активен 42 8
735 50 Не_активен Не_активен Активен 42 8
738 50 Не_активен Не_активен Активен 42 8
741 50 Не_активен Не_активен Активен 42 8
744 50 Не_активен Не_активен Активен 42 8
747 51 Активен Не_активен Не_активен 43 8
750 51 Активен Не_активен Не_активен 43 8
753 51 Активен Не_активен Не_активен 43 8
756 51 Активен Не_активен Не_активен 43 8
759 51 Активен Не_активен Не_активен 43 8
762 51 Активен Не_активен Не_активен 43 8
765 51 Активен Не_активен Не_активен 43 8
768 52 Не_активен Активен Не_активен 44 8
771 52 Не_активен Активен Не_активен 44 8
774 52 Не_активен Активен Не_активен 44 8
777 52 Не_активен Активен Не_активен 44 8
780 52 Не_активен Активен Не_активен 44 8
783 52 Не_активен Активен Не_активен 44 8
786 52 Не_активен Активен Не_активен 44 8
789 53 Не_активен Не_активен Активен 45 8
792 53 Не_активен Не_активен Активен 45 8
795 53 Не_активен Не_активен Активен 45 8
798 53 Не_активен Не_активен Активен 45 8
