
Время,с. Число_поставленных_задач Состояние_первого_терминала Состояние_второго_терминала Состояние_третьего_терминала Количество_решенных_задач Количество_задач_в_очереди
3 1 Не_активен Активен Не_активен 0 1
6 2 Не_активен Не_активен Активен 0 2
9 3 Не_активен Не_активен Не_активен 0 3
12 4 Не_активен Не_активен Не_активен 0 4
15 5 Не_активен Не_активен Не_активен 0 5
18 6 Не_активен Не_активен Не_активен 0 6
21 7 Не_активен Не_активен Не_активен 1 6
24 8 Не_активен Не_активен Не_активен 2 6
27 9 Не_активен Не_активен Не_активен 3 6
30 10 Не_активен Не_активен Не_активен 4 6
33 11 Не_активен Не_активен Не_активен 5 6
36 12 Не_активен Не_активен Не_активен 6 6
39 13 Не_активен Не_активен Не_активен 7 6
42 14 Не_активен Не_активен Не_активен 8 6
45 15 Не_активен Не_активен Не_активен 9 6
48 15 Активен Не_активен Не_активен 9 6
51 15 Активен Не_активен Не_активен 9 6
54 15 Активен Не_активен Не_активен 9 6
57 16 Не_активен Активен Не_активен 10 6
60 16 Не_активен Активен Не_активен 10 6
63 16 Не_активен Активен Не_активен 10 6
66 16 Не_активен Активен Не_активен 10 6
69 17 Не_активен Не_активен Активен 11 6
72 17 Не_активен Не_активен Активен 11 6
75 17 Не_активен Не_активен Активен 11 6
78 17 Не_активен Не_активен Активен 11 6
81 18 Активен Не_активен Не_активен 12 6
84 18 Активен Не_активен Не_активен 12 6
87 18 Активен Не_активен Не_активен 12 6
90 18 Активен Не_активен Не_активен 12 6
93 19 Не_активен Активен Не_активен 13 6
96 19 Не_активен Активен Не_активен 13 6
99 19 Не_активен Активен Не_активен 13 6
102 19 Не_активен Активен Не_активен 13 6
105 19 Не_активен Активен Не_активен 13 6
108 20 Не_активен Не_активен Активен 14 6
111 20 Не_активен Не_активен Активен 14 6
114 20 Не_активен Не_активен Активен 14 6
117 20 Не_активен Не_активен Активен 14 6
120 20 Не_активен Не_активен Активен 14 6
123 21 Активен Не_активен Не_активен 15 6
126 21 Активен Не_активен Не_активен 15 6
129 21 Активен Не_активен Не_активен 15 6
132 21 Активен Не_активен Не_активен 15 6
135 22 Не_активен Активен Не_активен 16 6
138 22 Не_активен Активен Не_активен 16 6
141 22 Не_активен Активен Не_активен 16 6
144 22 Не_активен Активен Не_активен 16 6
147 23 Не_активен Не_активен Активен 17 6
150 23 Не_активен Не_активен Активен 17 6
153 23 Не_активен Не_активен Активен 17 6
156 23 Не_активен Не_активен Активен 17 6
159 24 Не_активен Не_активен Не_активен 18 6
162 25 Не_активен Не_активен Не_активен 19 6
165 26 Не_активен Не_активен Не_активен 20 6
168 27 Не_активен Не_активен Не_активен 21 6
171 28 Не_активен Не_активен Не_активен 22 6
174 29 Не_активен Не_активен Не_активен 23 6
177 30 Не_активен Не_активен Не_активен 24 6
180 30 Активен Не_активен Не_активен 24 6
183 30 Активен Не_активен Не_активен 24 6
186 30 Активен Не_активен Не_активен 24 6
189 31 Не_активен Активен Не_активен 25 6
192 31 Не_активен Активен Не_активен 25 6
195 31 Не_активен Активен Не_активен 25 6
198 31 Не_активен Активен Не_активен 25 6
201 32 Не_активен Не_активен Активен 26 6
204 32 Не_активен Не_активен Активен 26 6
207 32 Не_активен Не_активен Активен 26 6
210 32 Не_активен Не_активен Активен 26 6
213 33 Не_активен Не_активен Не_активен 27 6
216 34 Не_активен Не_активен Не_активен 28 6
219 35 Не_активен Не_активен Не_активен 29 6
222 36 Не_активен Не_активен Не_активен 30 6
225 37 Не_активен Не_активен Не_активен 31 6
228 38 Не_активен Не_активен Не_активен 32 6
231 39 Не_активен Не_активен Не_активен 33 6
234 40 Не_активен Не_активен Не_активен 34 6
237 41 Не_активен Не_активен Не_активен 35 6
240 42 Не_активен Не_активен Не_активен 36 6
243 42 Активен Не_активен Не_активен 36 6
246 42 Активен Не_активен Не_активен 36 6
249 42 Активен Не_активен Не_активен 36 6
252 43 Не_активен Активен Не_активен 37 6
255 43 Не_активен Активен Не_активен 37 6
258 43 Не_активен Активен Не_активен 37 6
261 43 Не_активен Активен Не_активен 37 6
264 44 Не_активен Не_активен Активен 38 6
267 44 Не_активен Не_активен Активен 38 6
270 44 Не_активен Не_активен Активен 38 6
273 44 Не_активен Не_активен Активен 38 6
276 45 Активен Не_активен Не_активен 39 6
279 45 Активен Не_активен Не_активен 39 6
282 45 Активен Не_активен Не_активен 39 6
285 45 Активен Не_активен Не_активен 39 6
288 46 Не_активен Активен Не_активен 40 6
291 46 Не_активен Активен Не_активен 40 6
294 46 Не_активен Активен Не_активен 40 6
297 46 Не_активен Активен Не_активен 40 6
300 47 Не_активен Не_активен Активен 41 6
303 47 Не_активен Не_активен Активен 41 6
306 47 Не_активен Не_активен Активен 41 6
309 47 Не_активен Не_активен Активен 41 6
312 48 Активен Не_активен Не_активен 42 6
315 48 Активен Не_активен Не_активен 42 6
318 48 Активен Не_активен Не_активен 42 6
321 48 Активен Не_активен Не_активен 42 6
324 48 Активен Не_активен Не_активен 42 6
327 49 Не_активен Активен Не_активен 43 6
330 49 Не_активен Активен Не_активен 43 6
333 49 Не_активен Активен Не_активен 43 6
336 49 Не_активен Активен Не_активен 43 6
339 50 Не_активен Не_активен Активен 44 6
342 50 Не_активен Не_активен Активен 44 6
345 50 Не_активен Не_активен Активен 44 6
348 50 Не_активен Не_активен Активен 44 6
351 51 Активен Не_активен Не_активен 45 6
354 51 Активен Не_активен Не_активен 45 6
357 51 Активен Не_активен Не_активен 45 6
360 51 Активен Не_активен Не_активен 45 6
363 52 Не_активен Активен Не_активен 46 6
366 52 Не_активен Активен Не_активен 46 6
369 52 Не_активен Активен Не_активен 46 6
372 52 Не_активен Активен Не_активен 46 6
375 53 Не_активен Не_активен Активен 47 6
378 53 Не_активен Не_активен Активен 47 6
381 53 Не_активен Не_активен Активен 47 6
384 53 Не_активен Не_активен Активен 47 6
387 53 Не_активен Не_активен Активен 47 6
390 54 Не_активен Не_активен Не_активен 48 6
393 55 Не_активен Не_активен Не_активен 49 6
396 55 Не_активен Активен Не_активен 49 6
399 55 Не_активен Активен Не_активен 49 6
402 55 Не_активен Активен Не_активен 49 6
405 55 Не_активен Активен Не_активен 49 6
408 56 Не_активен Не_активен Активен 50 6
411 56 Не_активен Не_активен Активен 50 6
414 56 Не_активен Не_активен Активен 50 6
417 56 Не_активен Не_активен Активен 50 6
420 56 Не_активен Не_активен Активен 50 6
423 57 Активен Не_активен Не_активен 51 6
426 57 Активен Не_активен Не_активен 51 6
429 57 Активен Не_активен Не_активен 51 6
432 57 Активен Не_активен Не_активен 51 6
435 58 Не_активен Активен Не_активен 52 6
438 58 Не_активен Активен Не_активен 52 6
441 58 Не_активен Активен Не_активен 52 6
444 58 Не_активен Активен Не_активен 52 6
447 59 Не_активен Не_активен Активен 53 6
450 59 Не_активен Не_активен Активен 53 6
453 59 Не_активен Не_активен Активен 53 6
456 59 Не_активен Не_активен Активен 53 6
459 60 Активен Не_активен Не_активен 54 6
462 60 Активен Не_активен Не_активен 54 6
465 60 Активен Не_активен Не_активен 54 6
468 60 Активен Не_активен Не_активен 54 6
471 60 Активен Не_активен Не_активен 54 6
474 61 Не_активен Активен Не_активен 55 6
477 61 Не_активен Активен Не_активен 55 6
480 61 Не_активен Активен Не_активен 55 6
483 61 Не_активен Активен Не_активен 55 6
486 62 Не_активен Не_активен Активен 56 6
489 62 Не_активен Не_активен Активен 56 6
492 62 Не_активен Не_активен Активен 56 6
495 62 Не_активен Не_активен Активен 56 6
498 63 Активен Не_активен Не_активен 57 6
501 63 Активен Не_активен Не_активен 57 6
504 63 Активен Не_активен Не_активен 57 6
507 63 Активен Не_активен Не_активен 57 6
510 64 Не_активен Не_активен Не_активен 58 6
513 65 Не_активен Не_активен Не_активен 59 6
516 66 Не_активен Не_активен Не_активен 60 6
519 67 Не_активен Не_активен Не_активен 61 6
522 68 Не_активен Не_активен Не_активен 62 6
525 69 Не_активен Не_активен Не_активен 63 6
528 70 Не_активен Не_активен Не_активен 64 6
531 71 Не_активен Не_активен Не_активен 65 6
534 72 Не_активен Не_активен Не_активен 66 6
537 73 Не_активен Не_активен Не_активен 67 6
540 74 Не_активен Не_активен Не_активен 68 6
543 74 Не_активен Не_активен Активен 68 6
546 74 Не_активен Не_активен Активен 68 6
549 74 Не_активен Не_активен Активен 68 6
552 74 Не_активен Не_активен Активен 68 6
555 75 Активен Не_активен Не_активен 69 6
558 75 Активен Не_активен Не_активен 69 6
561 75 Активен Не_активен Не_активен 69 6
564 75 Активен Не_активен Не_активен 69 6
567 76 Не_активен Активен Не_активен 70 6
570 76 Не_активен Активен Не_активен 70 6
573 76 Не_активен Активен Не_активен 70 6
576 76 Не_активен Активен Не_активен 70 6
579 77 Не_активен Не_активен Активен 71 6
582 77 Не_активен Не_активен Активен 71 6
585 77 Не_активен Не_активен Активен 71 6
588 77 Не_активен Не_активен Активен 71 6
591 78 Активен Не_активен Не_активен 72 6
594 78 Активен Не_активен Не_активен 72 6
597 78 Активен Не_активен Не_активен 72 6
600 78 Активен Не_активен Не_активен 72 6
603 79 Не_активен Активен Не_активен 73 6
606 79 Не_активен Активен Не_активен 73 6
609 79 Не_активен Активен Не_активен 73 6
612 79 Не_активен Активен Не_активен 73 6
615 80 Не_активен Не_активен Не_активен 74 6
618 81 Не_активен Не_активен Не_активен 75 6
621 82 Не_активен Не_активен Не_активен 76 6
624 83 Не_активен Не_активен Не_активен 77 6
627 84 Не_активен Не_активен Не_активен 78 6
630 84 Активен Не_активен Не_активен 78 6
633 84 Активен Не_активен Не_активен 78 6
636 84 Активен Не_активен Не_активен 78 6
639 85 Не_активен Активен Не_активен 79 6
642 85 Не_активен Активен Не_активен 79 6
645 85 Не_активен Активен Не_активен 79 6
648 85 Не_активен Активен Не_активен 79 6
651 86 Не_активен Не_активен Активен 80 6
654 86 Не_активен Не_активен Активен 80 6
657 86 Не_активен Не_активен Активен 80 6
660 86 Не_активен Не_активен Активен 80 6
663 87 Активен Не_активен Не_активен 81 6
666 87 Активен Не_активен Не_активен 81 6
669 87 Активен Не_активен Не_активен 81 6
672 87 Активен Не_активен Не_активен 81 6
675 88 Не_активен Активен Не_активен 82 6
678 88 Не_активен Активен Не_активен 82 6
681 88 Не_активен Активен Не_активен 82 6
684 88 Не_активен Активен Не_активен 82 6
687 88 Не_активен Активен Не_активен 82 6
690 89 Не_активен Не_активен Активен 83 6
693 89 Не_активен Не_активен Активен 83 6
696 89 Не_активен Не_активен Активен 83 6
699 89 Не_активен Не_активен Активен 83 6
702 90 Не_активен Не_активен Не_активен 84 6
705 91 Не_активен Не_активен Не_активен 85 6
708 92 Не_активен Не_активен Не_активен 86 6
711 93 Не_активен Не_активен Не_активен 87 6
714 94 Не_активен Не_активен Не_активен 88 6
717 94 Не_активен Активен Не_активен 88 6
720 94 Не_активен Активен Не_активен 88 6
723 94 Не_активен Активен Не_активен 88 6
726 95 Не_активен Не_активен Активен 89 6
729 95 Не_активен Не_активен Активен 89 6
732 95 Не_активен Не_активен Активен 89 6
735 95 Не_активен Не_активен Активен 89 6
738 96 Активен Не_активен Не_активен 90 6
741 96 Активен Не_активен Не_активен 90 6
744 96 Активен Не_активен Не_активен 90 6
747 96 Активен Не_активен Не_активен 90 6
750 97 Не_активен Активен Не_активен 91 6
753 97 Не_активен Активен Не_активен 91 6
756 97 Не_активен Активен Не_активен 91 6
759 97 Не_активен Активен Не_активен 91 6
762 98 Не_активен Не_активен Активен 92 6
765 98 Не_активен Не_активен Активен 92 6
768 98 Не_активен Не_активен Активен 92 6
771 98 Не_активен Не_активен Активен 92 6
774 99 Активен Не_активен Не_активен 93 6
777 99 Активен Не_активен Не_активен 93 6
780 99 Активен Не_активен Не_активен 93 6
783 99 Активен Не_активен Не_активен 93 6
786 100 Не_активен Активен Не_активен 94 6
