
Время,с. Число_поставленных_задач Состояние_первого_терминала Состояние_второго_терминала Состояние_третьего_терминала Количество_решенных_задач Количество_задач_в_очереди
3 0 Активен Не_активен Не_активен 0 0
6 0 Активен Не_активен Не_активен 0 0
9 0 Активен Не_активен Не_активен 0 0
12 0 Активен Не_активен Не_активен 0 0
15 0 Активен Не_активен Не_активен 0 0
18 0 Активен Не_активен Не_активен 0 0
21 0 Активен Не_активен Не_активен 0 0
24 0 Активен Не_активен Не_активен 0 0
27 0 Активен Не_активен Не_активен 0 0
30 0 Активен Не_активен Не_активен 0 0
33 0 Активен Не_активен Не_активен 0 0
36 0 Активен Не_активен Не_активен 0 0
39 0 Активен Не_активен Не_активен 0 0
42 0 Активен Не_активен Не_активен 0 0
45 0 Активен Не_активен Не_активен 0 0
48 1 Не_активен Активен Не_активен 1 0
51 1 Не_активен Активен Не_активен 1 0
54 1 Не_активен Активен Не_активен 1 0
57 1 Не_активен Активен Не_активен 1 0
60 3 Не_активен Активен Не_активен 1 2
63 3 Не_активен Активен Не_активен 1 2
66 3 Не_активен Активен Не_активен 1 2
69 4 Не_активен Не_активен Активен 2 2
72 4 Не_активен Не_активен Активен 2 2
75 4 Не_активен Не_активен Активен 2 2
78 4 Не_активен Не_активен Активен 2 2
81 4 Не_активен Не_активен Активен 2 2
84 4 Не_активен Не_активен Активен 2 2
87 4 Не_активен Не_активен Активен 2 2
90 7 Активен Не_активен Не_активен 3 4
93 7 Активен Не_активен Не_активен 3 4
96 7 Активен Не_активен Не_активен 3 4
99 7 Активен Не_активен Не_активен 3 4
102 7 Активен Не_активен Не_активен 3 4
105 7 Активен Не_активен Не_активен 3 4
108 7 Активен Не_активен Не_активен 3 4
111 8 Не_активен Активен Не_активен 4 4
114 8 Не_активен Активен Не_активен 4 4
117 8 Не_активен Активен Не_активен 4 4
120 9 Не_активен Активен Не_активен 4 5
123 9 Не_активен Активен Не_активен 4 5
126 9 Не_активен Активен Не_активен 4 5
129 9 Не_активен Активен Не_активен 4 5
132 10 Не_активен Не_активен Активен 5 5
135 10 Не_активен Не_активен Активен 5 5
138 10 Не_активен Не_активен Активен 5 5
141 10 Не_активен Не_активен Активен 5 5
144 10 Не_активен Не_активен Активен 5 5
147 10 Не_активен Не_активен Активен 5 5
150 12 Не_активен Не_активен Активен 5 7
153 13 Активен Не_активен Не_активен 6 7
156 13 Активен Не_активен Не_активен 6 7
159 13 Активен Не_активен Не_активен 6 7
162 13 Активен Не_активен Не_активен 6 7
165 13 Активен Не_активен Не_активен 6 7
168 13 Активен Не_активен Не_активен 6 7
171 13 Активен Не_активен Не_активен 6 7
174 14 Не_активен Активен Не_активен 7 7
177 14 Не_активен Активен Не_активен 7 7
180 15 Не_активен Активен Не_активен 7 8
183 15 Не_активен Активен Не_активен 7 8
186 15 Не_активен Активен Не_активен 7 8
189 15 Не_активен Активен Не_активен 7 8
192 15 Не_активен Активен Не_активен 7 8
195 16 Не_активен Не_активен Активен 8 8
198 16 Не_активен Не_активен Активен 8 8
201 16 Не_активен Не_активен Активен 8 8
