
Время,с. Число_поставленных_задач Состояние_первого_терминала Состояние_второго_терминала Состояние_третьего_терминала Количество_решенных_задач Количество_задач_в_очереди
3 1 Не_активен Активен Не_активен 0 1
6 2 Не_активен Не_активен Активен 0 2
9 3 Не_активен Не_активен Не_активен 0 3
12 4 Не_активен Не_активен Не_активен 0 4
15 5 Не_активен Не_активен Не_активен 0 5
18 6 Не_активен Не_активен Не_активен 0 6
21 7 Не_активен Не_активен Не_активен 0 7
24 8 Не_активен Не_активен Не_активен 0 8
27 9 Не_активен Не_активен Не_активен 1 8
30 9 Активен Не_активен Не_активен 1 8
33 9 Активен Не_активен Не_активен 1 8
36 9 Активен Не_активен Не_активен 1 8
39 9 Активен Не_активен Не_активен 1 8
42 9 Активен Не_активен Не_активен 1 8
45 9 Активен Не_активен Не_активен 1 8
48 10 Не_активен Активен Не_активен 2 8
51 10 Не_активен Активен Не_активен 2 8
54 10 Не_активен Активен Не_активен 2 8
57 10 Не_активен Активен Не_активен 2 8
60 10 Не_активен Активен Не_активен 2 8
63 10 Не_активен Активен Не_активен 2 8
66 10 Не_активен Активен Не_активен 2 8
69 11 Не_активен Не_активен Активен 3 8
72 11 Не_активен Не_активен Активен 3 8
75 11 Не_активен Не_активен Активен 3 8
78 11 Не_активен Не_активен Активен 3 8
81 11 Не_активен Не_активен Активен 3 8
84 11 Не_активен Не_активен Активен 3 8
87 11 Не_активен Не_активен Активен 3 8
90 12 Активен Не_активен Не_активен 4 8
93 12 Активен Не_активен Не_активен 4 8
96 12 Активен Не_активен Не_активен 4 8
99 12 Активен Не_активен Не_активен 4 8
102 12 Активен Не_активен Не_активен 4 8
105 12 Активен Не_активен Не_активен 4 8
108 12 Активен Не_активен Не_активен 4 8
111 13 Не_активен Активен Не_активен 5 8
114 13 Не_активен Активен Не_активен 5 8
117 13 Не_активен Активен Не_активен 5 8
120 13 Не_активен Активен Не_активен 5 8
123 13 Не_активен Активен Не_активен 5 8
126 13 Не_активен Активен Не_активен 5 8
129 13 Не_активен Активен Не_активен 5 8
132 14 Не_активен Не_активен Активен 6 8
135 14 Не_активен Не_активен Активен 6 8
138 14 Не_активен Не_активен Активен 6 8
141 14 Не_активен Не_активен Активен 6 8
144 14 Не_активен Не_активен Активен 6 8
147 14 Не_активен Не_активен Активен 6 8
150 14 Не_активен Не_активен Активен 6 8
153 15 Активен Не_активен Не_активен 7 8
156 15 Активен Не_активен Не_активен 7 8
159 15 Активен Не_активен Не_активен 7 8
162 15 Активен Не_активен Не_активен 7 8
165 15 Активен Не_активен Не_активен 7 8
168 15 Активен Не_активен Не_активен 7 8
171 15 Активен Не_активен Не_активен 7 8
174 16 Не_активен Активен Не_активен 8 8
177 16 Не_активен Активен Не_активен 8 8
180 16 Не_активен Активен Не_активен 8 8
183 16 Не_активен Активен Не_активен 8 8
186 16 Не_активен Активен Не_активен 8 8
189 16 Не_активен Активен Не_активен 8 8
192 16 Не_активен Активен Не_активен 8 8
195 17 Не_активен Не_активен Активен 9 8
198 17 Не_активен Не_активен Активен 9 8
201 17 Не_активен Не_активен Активен 9 8
204 17 Не_активен Не_активен Активен 9 8
207 17 Не_активен Не_активен Активен 9 8
210 17 Не_активен Не_активен Активен 9 8
213 17 Не_активен Не_активен Активен 9 8
216 18 Активен Не_активен Не_активен 10 8
219 18 Активен Не_активен Не_активен 10 8
222 18 Активен Не_активен Не_активен 10 8
225 18 Активен Не_активен Не_активен 10 8
228 18 Активен Не_активен Не_активен 10 8
231 18 Активен Не_активен Не_активен 10 8
234 18 Активен Не_активен Не_активен 10 8
237 19 Не_активен Активен Не_активен 11 8
240 19 Не_активен Активен Не_активен 11 8
243 19 Не_активен Активен Не_активен 11 8
246 19 Не_активен Активен Не_активен 11 8
249 19 Не_активен Активен Не_активен 11 8
252 19 Не_активен Активен Не_активен 11 8
255 19 Не_активен Активен Не_активен 11 8
258 20 Не_активен Не_активен Активен 12 8
261 20 Не_активен Не_активен Активен 12 8
264 20 Не_активен Не_активен Активен 12 8
267 20 Не_активен Не_активен Активен 12 8
270 20 Не_активен Не_активен Активен 12 8
273 20 Не_активен Не_активен Активен 12 8
276 20 Не_активен Не_активен Активен 12 8
279 21 Активен Не_активен Не_активен 13 8
282 21 Активен Не_активен Не_активен 13 8
285 21 Активен Не_активен Не_активен 13 8
288 21 Активен Не_активен Не_активен 13 8
291 21 Активен Не_активен Не_активен 13 8
294 21 Активен Не_активен Не_активен 13 8
297 21 Активен Не_активен Не_активен 13 8
300 22 Не_активен Активен Не_активен 14 8
303 22 Не_активен Активен Не_активен 14 8
306 22 Не_активен Активен Не_активен 14 8
309 22 Не_активен Активен Не_активен 14 8
312 22 Не_активен Активен Не_активен 14 8
315 22 Не_активен Активен Не_активен 14 8
318 22 Не_активен Активен Не_активен 14 8
321 23 Не_активен Не_активен Активен 15 8
324 23 Не_активен Не_активен Активен 15 8
327 23 Не_активен Не_активен Активен 15 8
330 23 Не_активен Не_активен Активен 15 8
333 23 Не_активен Не_активен Активен 15 8
336 23 Не_активен Не_активен Активен 15 8
339 23 Не_активен Не_активен Активен 15 8
342 24 Активен Не_активен Не_активен 16 8
345 24 Активен Не_активен Не_активен 16 8
348 24 Активен Не_активен Не_активен 16 8
351 24 Активен Не_активен Не_активен 16 8
354 24 Активен Не_активен Не_активен 16 8
357 24 Активен Не_активен Не_активен 16 8
360 24 Активен Не_активен Не_активен 16 8
363 25 Не_активен Активен Не_активен 17 8
366 25 Не_активен Активен Не_активен 17 8
369 25 Не_активен Активен Не_активен 17 8
372 25 Не_активен Активен Не_активен 17 8
375 25 Не_активен Активен Не_активен 17 8
378 25 Не_активен Активен Не_активен 17 8
381 25 Не_активен Активен Не_активен 17 8
384 26 Не_активен Не_активен Активен 18 8
387 26 Не_активен Не_активен Активен 18 8
390 26 Не_активен Не_активен Активен 18 8
393 26 Не_активен Не_активен Активен 18 8
396 26 Не_активен Не_активен Активен 18 8
399 26 Не_активен Не_активен Активен 18 8
402 26 Не_активен Не_активен Активен 18 8
405 27 Активен Не_активен Не_активен 19 8
408 27 Активен Не_активен Не_активен 19 8
411 27 Активен Не_активен Не_активен 19 8
414 27 Активен Не_активен Не_активен 19 8
417 27 Активен Не_активен Не_активен 19 8
420 27 Активен Не_активен Не_активен 19 8
423 27 Активен Не_активен Не_активен 19 8
426 28 Не_активен Активен Не_активен 20 8
429 28 Не_активен Активен Не_активен 20 8
432 28 Не_активен Активен Не_активен 20 8
435 28 Не_активен Активен Не_активен 20 8
438 28 Не_активен Активен Не_активен 20 8
441 28 Не_активен Активен Не_активен 20 8
444 28 Не_активен Активен Не_активен 20 8
447 29 Не_активен Не_активен Активен 21 8
450 29 Не_активен Не_активен Активен 21 8
453 29 Не_активен Не_активен Активен 21 8
456 29 Не_активен Не_активен Активен 21 8
459 29 Не_активен Не_активен Активен 21 8
462 29 Не_активен Не_активен Активен 21 8
465 29 Не_активен Не_активен Активен 21 8
468 30 Активен Не_активен Не_активен 22 8
471 30 Активен Не_активен Не_активен 22 8
474 30 Активен Не_активен Не_активен 22 8
477 30 Активен Не_активен Не_активен 22 8
480 30 Активен Не_активен Не_активен 22 8
483 30 Активен Не_активен Не_активен 22 8
486 30 Активен Не_активен Не_активен 22 8
489 31 Не_активен Активен Не_активен 23 8
492 31 Не_активен Активен Не_активен 23 8
495 31 Не_активен Активен Не_активен 23 8
498 31 Не_активен Активен Не_активен 23 8
501 31 Не_активен Активен Не_активен 23 8
504 31 Не_активен Активен Не_активен 23 8
507 31 Не_активен Активен Не_активен 23 8
510 32 Не_активен Не_активен Активен 24 8
513 32 Не_активен Не_активен Активен 24 8
516 32 Не_активен Не_активен Активен 24 8
519 32 Не_активен Не_активен Активен 24 8
522 32 Не_активен Не_активен Активен 24 8
525 32 Не_активен Не_активен Активен 24 8
528 32 Не_активен Не_активен Активен 24 8
531 33 Активен Не_активен Не_активен 25 8
534 33 Активен Не_активен Не_активен 25 8
537 33 Активен Не_активен Не_активен 25 8
540 33 Активен Не_активен Не_активен 25 8
543 33 Активен Не_активен Не_активен 25 8
546 33 Активен Не_активен Не_активен 25 8
549 33 Активен Не_активен Не_активен 25 8
552 34 Не_активен Активен Не_активен 26 8
555 34 Не_активен Активен Не_активен 26 8
558 34 Не_активен Активен Не_активен 26 8
561 34 Не_активен Активен Не_активен 26 8
564 34 Не_активен Активен Не_активен 26 8
567 34 Не_активен Активен Не_активен 26 8
570 34 Не_активен Активен Не_активен 26 8
573 35 Не_активен Не_активен Активен 27 8
576 35 Не_активен Не_активен Активен 27 8
579 35 Не_активен Не_активен Активен 27 8
582 35 Не_активен Не_активен Активен 27 8
585 35 Не_активен Не_активен Активен 27 8
588 35 Не_активен Не_активен Активен 27 8
591 35 Не_активен Не_активен Активен 27 8
594 36 Активен Не_активен Не_активен 28 8
597 36 Активен Не_активен Не_активен 28 8
600 36 Активен Не_активен Не_активен 28 8
603 36 Активен Не_активен Не_активен 28 8
606 36 Активен Не_активен Не_активен 28 8
609 36 Активен Не_активен Не_активен 28 8
612 36 Активен Не_активен Не_активен 28 8
615 37 Не_активен Активен Не_активен 29 8
618 37 Не_активен Активен Не_активен 29 8
621 37 Не_активен Активен Не_активен 29 8
624 37 Не_активен Активен Не_активен 29 8
627 37 Не_активен Активен Не_активен 29 8
630 37 Не_активен Активен Не_активен 29 8
633 37 Не_активен Активен Не_активен 29 8
636 38 Не_активен Не_активен Активен 30 8
639 38 Не_активен Не_активен Активен 30 8
642 38 Не_активен Не_активен Активен 30 8
645 38 Не_активен Не_активен Активен 30 8
648 38 Не_активен Не_активен Активен 30 8
651 38 Не_активен Не_активен Активен 30 8
654 38 Не_активен Не_активен Активен 30 8
657 39 Активен Не_активен Не_активен 31 8
660 39 Активен Не_активен Не_активен 31 8
663 39 Активен Не_активен Не_активен 31 8
666 39 Активен Не_активен Не_активен 31 8
669 39 Активен Не_активен Не_активен 31 8
672 39 Активен Не_активен Не_активен 31 8
675 39 Активен Не_активен Не_активен 31 8
678 40 Не_активен Активен Не_активен 32 8
681 40 Не_активен Активен Не_активен 32 8
684 40 Не_активен Активен Не_активен 32 8
687 40 Не_активен Активен Не_активен 32 8
690 40 Не_активен Активен Не_активен 32 8
693 40 Не_активен Активен Не_активен 32 8
696 40 Не_активен Активен Не_активен 32 8
699 41 Не_активен Не_активен Активен 33 8
702 41 Не_активен Не_активен Активен 33 8
705 41 Не_активен Не_активен Активен 33 8
708 41 Не_активен Не_активен Активен 33 8
711 41 Не_активен Не_активен Активен 33 8
714 41 Не_активен Не_активен Активен 33 8
717 41 Не_активен Не_активен Активен 33 8
720 42 Активен Не_активен Не_активен 34 8
723 42 Активен Не_активен Не_активен 34 8
726 42 Активен Не_активен Не_активен 34 8
729 42 Активен Не_активен Не_активен 34 8
732 42 Активен Не_активен Не_активен 34 8
735 42 Активен Не_активен Не_активен 34 8
738 42 Активен Не_активен Не_активен 34 8
741 43 Не_активен Активен Не_активен 35 8
744 43 Не_активен Активен Не_активен 35 8
747 43 Не_активен Активен Не_активен 35 8
750 43 Не_активен Активен Не_активен 35 8
753 43 Не_активен Активен Не_активен 35 8
756 43 Не_активен Активен Не_активен 35 8
759 43 Не_активен Активен Не_активен 35 8
762 44 Не_активен Не_активен Активен 36 8
765 44 Не_активен Не_активен Активен 36 8
768 44 Не_активен Не_активен Активен 36 8
771 44 Не_активен Не_активен Активен 36 8
774 44 Не_активен Не_активен Активен 36 8
777 44 Не_активен Не_активен Активен 36 8
780 44 Не_активен Не_активен Активен 36 8
783 45 Активен Не_активен Не_активен 37 8
786 45 Активен Не_активен Не_активен 37 8
789 45 Активен Не_активен Не_активен 37 8
792 45 Активен Не_активен Не_активен 37 8
795 45 Активен Не_активен Не_активен 37 8
798 45 Активен Не_активен Не_активен 37 8
801 45 Активен Не_активен Не_активен 37 8
