
Время,с. Число_поставленных_задач Состояние_первого_терминала Состояние_второго_терминала Состояние_третьего_терминала Количество_решенных_задач Количество_задач_в_очереди
3 0 Не_активен Не_активен Не_активен 0 0
6 0 Не_активен Не_активен Не_активен 0 0
9 0 Не_активен Не_активен Не_активен 0 0
12 0 Не_активен Не_активен Не_активен 0 0
15 0 Не_активен Не_активен Не_активен 0 0
18 0 Не_активен Не_активен Не_активен 0 0
21 0 Не_активен Не_активен Не_активен 0 0
24 0 Не_активен Не_активен Не_активен 0 0
27 0 Не_активен Не_активен Не_активен 0 0
30 0 Активен Не_активен Не_активен 0 0
33 0 Активен Не_активен Не_активен 0 0
36 0 Активен Не_активен Не_активен 0 0
39 0 Активен Не_активен Не_активен 0 0
42 0 Активен Не_активен Не_активен 0 0
45 0 Активен Не_активен Не_активен 0 0
48 1 Не_активен Активен Не_активен 1 0
51 1 Не_активен Активен Не_активен 1 0
54 1 Не_активен Активен Не_активен 1 0
57 1 Не_активен Активен Не_активен 1 0
60 1 Не_активен Активен Не_активен 1 0
63 1 Не_активен Активен Не_активен 1 0
66 1 Не_активен Активен Не_активен 1 0
69 2 Не_активен Не_активен Активен 2 0
72 2 Не_активен Не_активен Активен 2 0
75 2 Не_активен Не_активен Активен 2 0
78 2 Не_активен Не_активен Активен 2 0
81 2 Не_активен Не_активен Активен 2 0
84 2 Не_активен Не_активен Активен 2 0
87 2 Не_активен Не_активен Активен 2 0
90 3 Активен Не_активен Не_активен 3 0
